FlujoRx,FlujoCh,Concent,Tempera,Volumen
82.754,106.72,0.99835,349.54,7.9523
84.548,107.57,0.99833,349.79,8.1122
84.94,107.52,0.99826,350,8.2716
81.587,106.67,0.99802,350.1,8.4084
81.515,105.98,0.99793,350.28,8.5332
80.173,103.04,0.99814,350.47,8.6654
84.739,107.91,0.99823,350.54,8.815
84.648,103.81,0.99799,350.5,8.9445
84.56,105.18,0.99777,350.49,9.063
84.162,103.64,0.99759,350.43,9.2049
84.655,105.12,0.99749,350.36,9.3401
81.889,103.62,0.99749,350.35,9.4654
82.742,107.73,0.9975,350.25,9.5884
81.626,107.23,0.9975,350.02,9.6675
83.208,104.86,0.9975,349.96,9.7373
81.336,104.36,0.99752,350.03,9.8323
80,104.31,0.99745,350.03,9.9167
80.469,106.86,0.99729,350.02,9.9758
80.903,105.37,0.99722,349.95,10.044
80.756,106.84,0.99726,349.87,10.148
80.107,102.13,0.99726,349.84,10.235
81.286,102.77,0.99723,349.8,10.287
79.154,104.53,0.99719,349.76,10.339
84.114,103.06,0.9972,349.76,10.401
79.679,102.8,0.99721,349.75,10.473
79.917,105.14,0.99714,349.7,10.565
81.991,105.39,0.99707,349.66,10.646
81.658,104.51,0.99704,349.71,10.704
83.789,104.33,0.9971,349.66,10.763
82.467,104.13,0.99727,349.46,10.815
81.733,104.38,0.99736,349.31,10.861
79.888,102.96,0.99731,349.46,10.922
79.124,104.8,0.99735,349.67,10.993
82.185,105.28,0.99745,349.74,11.08
79.253,106.87,0.99746,349.69,11.162
82.922,105.56,0.99739,349.61,11.242
83.324,104.38,0.99737,349.55,11.318
80.29,105.76,0.99739,349.53,11.375
83.921,105.42,0.9974,349.57,11.423
83.227,106.34,0.99739,349.79,11.499
82.834,105.28,0.99724,349.9,11.578
79.765,102.1,0.99696,349.72,11.652
82.447,104.43,0.99681,349.63,11.733
84.508,102.7,0.99674,349.93,11.82
82.316,103.47,0.99661,350,11.914
80.056,107.57,0.99665,349.75,12.024
79.741,106.81,0.99676,349.58,12.122
81.039,102.64,0.99677,349.68,12.169
81.137,107.19,0.99671,349.65,12.201
81.161,107.59,0.99656,349.48,12.239
83.517,105.86,0.9964,349.39,12.284
84.448,104.01,0.99623,349.54,12.335
81.396,106.18,0.99623,349.54,12.414
80.465,103.9,0.99648,349.32,12.512
83.244,105.18,0.99668,349.23,12.586
84.88,104.19,0.99666,349.39,12.622
82.719,107.28,0.99675,349.45,12.685
82.198,102.75,0.9969,349.41,12.78
83.862,104.65,0.99692,349.38,12.851
81.574,102.87,0.99683,349.37,12.871
80.328,104.27,0.99674,349.4,12.9
82.772,106.16,0.99657,349.49,12.938
81.082,106.27,0.99643,349.59,12.968
80.296,105.69,0.99637,349.46,13.016
81.853,104.05,0.99646,349.36,13.08
83.469,106.02,0.99668,349.59,13.127
82.343,106.37,0.99678,349.82,13.155
84.611,103.58,0.99664,349.67,13.211
80.136,103.62,0.99653,349.61,13.258
79.89,102.99,0.99652,349.76,13.253
83.796,103.36,0.99657,349.8,13.235
79.401,103.2,0.99653,349.69,13.243
84.503,103.8,0.99658,350,13.279
82.117,107.9,0.99682,350.58,13.348
82.127,105.41,0.99693,350.82,13.401
80.338,104.22,0.99692,350.58,13.419
82.035,104.74,0.99682,350.41,13.432
84.562,106.28,0.99644,350.38,13.431
83.026,102.99,0.99614,350.32,13.418
79.848,104.05,0.99605,350.17,13.429
79.087,105.27,0.99601,350.09,13.45
81.232,107.68,0.99615,350.06,13.454
83.459,102.69,0.99628,350.01,13.453
80.947,105.67,0.99624,349.96,13.47
81.885,103.09,0.99625,349.65,13.511
80.264,103.07,0.99634,349.03,13.57
84.934,105.07,0.99633,348.85,13.596
85,103.38,0.99635,349.35,13.604
84.971,106.89,0.99642,349.6,13.627
80.016,106.77,0.99634,349.36,13.64
81.258,105.02,0.99624,349.01,13.647
80.135,106.03,0.99622,349.05,13.662
83.659,102.84,0.9962,349.12,13.676
79.191,105.39,0.99617,349,13.683
83.17,106.51,0.99612,348.83,13.68
83.118,104.99,0.99603,348.74,13.674
81.645,107.54,0.99596,348.83,13.686
80.972,105.24,0.99588,349.19,13.71
82.391,104.09,0.99585,349.51,13.72
84.795,104.98,0.99572,349.42,13.744
84.289,104.95,0.99561,349.45,13.789
83.282,104.28,0.99569,349.89,13.819
84.319,106.47,0.99571,350.26,13.841
84.208,103.49,0.99559,350.12,13.863
84.596,102.15,0.99552,350.02,13.852
83.701,102.93,0.99548,350.09,13.806
79.44,107.13,0.99539,350.08,13.763
82.254,105.11,0.99529,349.95,13.777
79.849,102.4,0.99528,349.99,13.814
80.25,104.07,0.99531,350.08,13.836
82.426,107,0.99529,350.11,13.845
84.688,105.28,0.99517,350.04,13.812
84.357,106.82,0.99524,350.04,13.762
79.86,104.46,0.99557,350.09,13.766
80.051,105.1,0.99592,350.03,13.813
79.153,106.7,0.99595,349.73,13.811
82.827,105.18,0.99586,349.58,13.766
79.798,103.64,0.99576,349.78,13.725
84.799,105.11,0.99564,349.83,13.739
81.989,103.71,0.99539,349.66,13.739
80.925,107.56,0.99523,349.57,13.712
83.895,106.99,0.99532,349.43,13.726
84.564,106.58,0.99553,349.39,13.758
83.272,102.07,0.99558,349.45,13.766
81.255,107.63,0.99537,349.48,13.763
82.07,104.26,0.99511,349.55,13.756
82.49,102.46,0.99495,349.44,13.76
81.541,106.52,0.99499,349.61,13.74
82.335,102.88,0.99529,349.99,13.761
80.167,107.67,0.99571,349.94,13.865
83.641,106.67,0.99584,349.71,13.924
82.293,106.15,0.99592,349.34,13.899
81.504,106.25,0.99609,349.11,13.889
82.978,102.32,0.99604,349.46,13.887
83.737,103.74,0.99598,349.81,13.904
79.661,107.31,0.99592,349.68,13.937
82.492,105.75,0.99577,349.5,13.922
79.697,103.42,0.99577,349.32,13.851
84.957,107.13,0.99576,349.35,13.802
84.461,106.01,0.99578,349.55,13.814
83.689,107.47,0.99587,349.52,13.827
80.187,106.3,0.99588,349.22,13.83
80.28,106.26,0.99583,349.01,13.811
83.389,104.67,0.99578,348.91,13.836
84.195,106.63,0.99564,348.95,13.865
80.166,104.57,0.99544,349.34,13.823
79.458,103.04,0.99532,349.69,13.757
82.506,103.96,0.99526,349.59,13.728
83.951,106.46,0.99519,349.43,13.726
79.045,106.61,0.99521,349.44,13.76
79.955,105.5,0.9952,349.57,13.785
84.915,102.06,0.99522,349.72,13.758
81.58,104.7,0.99535,349.91,13.747
79.431,104.93,0.99543,350.1,13.779
79.522,106.38,0.99546,350.1,13.826
80.994,104.74,0.99557,350.12,13.825
81.852,104.86,0.99553,350.13,13.78
81.266,108,0.99531,349.79,13.734
82.896,102.36,0.99524,349.55,13.695
80.084,104.3,0.99525,350.06,13.666
82.036,107.38,0.99511,349.31,13.633
80.708,105.47,0.9951,346.87,13.576
